rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/value_loss,train/std,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/loss,train/approx_kl,train/learning_rate,time/total timesteps,eval/speed,eval/speed_penalty,eval/mean_reward,eval/action_norm_penalty,eval/mean_ep_length,eval/cost_of_transport
27.965553,64,1,40.903614457831324,4096,63,,,,,,,,,,,,,,,,,,
34.004574,63,2,48.81,8192,129,0.6350828798953444,0.2497495710849762,0.2,0.1811767578125,-0.009894317771977513,-0.25696790125221014,10,-0.10021352767944336,0.48543789982795715,0.013969418,0.0001,,,,,,,
,,,,,,0.2374859302537516,0.24994727969169617,0.2,0.1818359375,-0.01096658959359047,-0.2566392427310348,20,0.09248638153076172,0.12780341506004333,0.015719239,0.0001,10000,0.04074120621146085,0.23556077317965182,2352.62353515625,0.0,33.0,952.758077963863
40.110653,62,3,56.86,12288,197,,,,,,,,,,,,,,,,,,
40.017338,61,4,56.85,16384,265,0.23792578275315462,0.25043848156929016,0.2,0.1489013671875,-0.00866326634932193,-0.2678495727479458,30,0.21454286575317383,0.08253246545791626,0.011933504,0.0001,,,,,,,
,,,,,,0.24624937593471258,0.2492816001176834,0.2,0.184765625,-0.014228382345754654,-0.2545242853462696,40,0.24864435195922852,0.10289451479911804,0.014893324,0.0001,20000,0.15557475307966234,0.08052580569552441,2226.227783203125,0.0,31.0,506.77992032091436
35.036755,61,5,49.27,20480,334,,,,,,,,,,,,,,,,,,
36.802853,61,6,52.34,24576,402,0.25503420520108194,0.24827425181865692,0.2,0.166943359375,-0.01083133573702071,-0.21844799146056176,50,0.25376641750335693,0.09014209359884262,0.013423389,0.0001,,,,,,,
37.014187,61,7,50.99,28672,468,0.2527947399998084,0.24766717851161957,0.2,0.1529296875,-0.007152194809896173,-0.19382025953382254,60,0.31920433044433594,0.13702186942100525,0.012818728,0.0001,,,,,,,
,,,,,,0.26646996901836245,0.24708275496959686,0.2,0.1986572265625,-0.015139512560563163,-0.1754374137148261,70,0.29820728302001953,0.1727716028690338,0.015923582,0.0001,30000,0.595261268407664,0.10681953683138766,8130.58740234375,0.0,111.0,409.20506190918024
42.15275,60,8,57.04,32768,543,,,,,,,,,,,,,,,,,,
41.77825,60,9,56.42,36864,608,0.255322433821857,0.2466638684272766,0.2,0.2009765625,-0.014864027115982026,-0.1593570128083229,80,0.36094945669174194,0.09172460436820984,0.015314596,0.0001,,,,,,,
,,,,,,0.27516323546878996,0.2460777759552002,0.2,0.1705810546875,-0.011722818770431331,-0.14118009265512227,90,0.29388612508773804,0.13810549676418304,0.014391829,0.0001,40000,0.7312016378037409,0.05534303247207968,11241.0390625,0.0,152.0,372.4909883533726
42.219048,59,10,56.78,40960,688,,,,,,,,,,,,,,,,,,
47.324135,59,11,62.4,45056,755,0.31980598557274786,0.24509194493293762,0.2,0.1870361328125,-0.014857057525659911,-0.1156400866806507,100,0.34438252449035645,0.12018465250730515,0.0150360195,0.0001,,,,,,,
46.96721,59,12,62.85,49152,822,0.2767518803942949,0.2446039617061615,0.2,0.1863037109375,-0.012989876348729012,-0.09289356973022223,110,0.3847777843475342,0.12925754487514496,0.013741043,0.0001,,,,,,,
,,,,,,0.28927016332745553,0.244037464261055,0.2,0.161767578125,-0.010519505493721226,-0.07528018113225698,120,0.39092564582824707,0.10736772418022156,0.013060633,0.0001,50000,0.5132950640730645,0.06947870043758683,7005.6494140625,0.0,95.0,386.3186433784708
52.15323,59,13,68.76,53248,896,,,,,,,,,,,,,,,,,,
48.405415,59,14,64.0,57344,963,0.2677797216223553,0.2445099949836731,0.2,0.1692626953125,-0.01165079931888613,-0.07241420466452837,130,0.42185747623443604,0.07194122672080994,0.014392228,0.0001,,,,,,,
