#{"t_start": 1630091104.8534548, "env_id": null}
r,l,t
15.115287,17,4.472388
11.84916,19,5.042028
15.505053,20,5.340753
15.284716,20,5.340828
14.130295,21,5.62261
17.388432,24,6.443181
22.518694,30,7.750407
20.946264,34,8.579026
27.149252,40,9.964069
9.26746,13,11.683534
23.66101,29,12.304194
21.85928,32,13.23146
46.33366,56,14.029898
46.314648,56,14.029957
8.531713,12,14.836465
27.371714,31,15.366317
19.788906,43,15.73816
14.764927,26,16.657103
37.36683,49,16.657188
48.67216,67,17.004454
43.632736,48,17.305732
9.261863,11,18.243654
8.451498,12,19.854887
20.039743,35,23.40178
24.285385,40,23.975292
56.944992,96,23.975354
53.02127,97,24.329987
19.497639,32,24.638284
50.848087,79,25.758502
19.21962,24,25.758582
72.55574,103,25.758604
2.9400048,3,26.423555
43.60873,51,26.687433
41.175716,60,27.229239
31.470917,43,27.827403
15.674341,21,28.76917
34.914936,65,29.647565
81.999054,121,30.358582
20.837881,28,31.398247
44.677364,61,33.31198
25.61416,40,34.066001
27.97042,33,35.138333
20.070158,30,35.457245
51.270767,75,35.45732
12.947362,26,35.457341
29.290712,34,36.029487
30.859896,37,36.029562
9.535017,11,37.045357
44.975197,57,38.337084
42.77234,57,40.002946
10.320951,13,40.003007
17.200087,21,40.354499
15.020827,18,40.354578
58.273773,66,42.238427
22.163958,37,42.444403
35.011684,50,42.838799
16.78496,25,44.784706
46.26196,82,45.19877
76.34928,119,45.42272
11.444287,12,45.76768
24.579247,41,45.767759
17.607994,24,46.334264
28.906237,44,46.602386
28.394726,64,47.540949
30.076038,51,48.139181
10.535583,24,48.376835
7.0873337,12,49.318514
12.61316,18,49.318576
10.592474,19,50.997986
10.446381,17,53.189615
26.193703,34,53.50053
7.809657,8,55.276622
26.076632,41,55.605936
15.88912,34,56.452599
52.2541,83,56.452667
3.7631674,4,56.70782
29.345388,49,57.556408
78.42489,115,58.245188
13.227767,16,59.61154
24.383186,33,61.682317
42.168144,77,62.183713
32.210968,46,62.539988
25.54009,29,63.976262
75.648895,98,69.12573
55.559654,78,69.567424
46.01768,72,70.718084
5.5342684,10,71.57933
83.11223,109,71.872829
21.509062,34,72.336501
